 seedlen = 0 lowscore = 0
Mutation Data Matrix (120 PAMs)
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 8
Residue identity scores 10
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 0

100000 sequences to be read in length range 50 -> 500

Calculating peptide table based on length 6
Reading user file of seq.s: final.seq
 user_in = 1
End of user sequences
2985 sequences read into 2985 blocks, (2985 are keyed)


 ****** CYCLE 0 ******
Minimum score held = 20
Top 3 scores held per sequence
Sequences in the range 1<Dij<100 scored
Adjacent sequences scored with bonus of 10
33436 pairs collected
34752
 npairs = 34752
pre_order  npairs = 34752
 malloc OK
reorder  malloc OK done
preorder  new block mallock OK
cluster_pairs total list_alloc = 680
pack_lists 2884/2985 blocks moved

New sequence order is:
* Block 0 <=== 1	USER>SEED:>RF00004	  111   [+0+] 2lkr_A mol na length 111  RNA (111-MER)
picked USER>>AEHL01324315.1/345-222 (0.000000)
picked USER>>AAPE02000329.1/33403-33517 (0.000000)
picked USER>>AANG01513794.1/838-957 (0.000000)
picked USER>>ACFV01138219.1/64712-64830 (0.000000)
picked USER>>ABDC01121326.1/2853-2981 (0.000000)
picked USER>>AGCE01053421.1/2128-2229 (0.000000)
picked USER>>AFSB01186910.1/13669-13583 (0.000000)
picked USER>>AAGW02036110.1/73010-73120 (0.000000)
picked USER>>AALT01652143.1/251-357 (0.000000)
picked USER>>AAGW02062565.1/2222-2095 (0.000000)
picked USER>>AAGV020107508.1/2845-2963 (0.000000)
picked USER>>ABDC01212199.1/553-657 (0.000000)
picked USER>>AANN01443258.1/1028-898 (0.000000)
picked USER>>AL592154.6/89054-88956 (0.000000)
picked USER>>AAYZ01084391.1/1019-912 (0.000000)
picked USER>>AAWR02035453.1/42873-42984 (0.000000)
picked USER>>AAQR03104898.1/3608-3714 (0.000000)
picked USER>>AEYP01007152.1/565-666 (0.000000)
picked USER>>AAKN02056206.1/20357-20454 (0.000000)
picked USER>>AAQR03063593.1/9212-9331 (0.000000)
picked USER>>ACFV01116854.1/5787-5923 (0.000000)
picked USER>>AAPY01135302.1/1691-1582 (0.000000)
picked USER>>ACFV01048742.1/18318-18443 (0.000000)
picked USER>>AFEY01444163.1/3369-3256 (0.000000)
picked USER>>ACFV01009626.1/6120-6231 (0.000000)
picked USER>>CABD02286484.1/456-567 (0.000000)
picked USER>>AANG01575172.1/914-790 (0.000000)
picked USER>>AAWZ02022449.1/15854-15748 (0.000000)
picked USER>>ABRN01397140.1/20412-20317 (0.000000)
picked USER>>ACIV011916926.1/255-357 (0.000000)
picked USER>>AANN01774828.1/678-762 (0.000000)
picked USER>>AFSB01169585.1/9609-9494 (0.000000)
picked USER>>ABDC01212780.1/2108-1991 (0.000000)
picked USER>>AAMC01125048.1/6616-6524 (0.000000)
picked USER>>AAGW02042144.1/41059-40940 (0.000000)
picked USER>>AAPE02005302.1/98983-98868 (0.000000)
picked USER>>ABRT010107752.1/3663-3790 (0.000000)
picked USER>>AEHL01327589.1/3460-3554 (0.000000)
picked USER>>AAPE02018083.1/33113-33235 (0.000000)
picked USER>>AAPE02030204.1/17060-17162 (0.000000)
picked USER>>AAWR02038265.1/43139-43048 (0.000000)
picked USER>>ABDC01432268.1/961-852 (0.000000)
picked USER>>AFSB01164850.1/9228-9334 (0.000000)
picked USER>>AGCE01027229.1/24871-24983 (0.000000)
picked USER>>AADC01142586.1/279335-279209 (0.000000)
picked USER>>CACC01018215.1/6256-6142 (0.000000)
picked USER>>AAFC03095181.1/64208-64321 (0.000000)
picked USER>>CABD02070863.1/59947-60075 (0.000000)
picked USER>>AASC02003761.1/5334-5236 (0.000000)
picked USER>>AAIY01487093.1/386-276 (0.000000)
picked USER>>ABDC01162947.1/3577-3457 (0.000000)
picked USER>>AAGW02028943.1/38834-38718 (0.000000)
picked USER>>AAQR03014965.1/48538-48432 (0.000000)
picked USER>>ABGA01328457.1/13136-13026 (0.000000)
picked USER>>ABRT010047022.1/7006-7101 (0.000000)
picked USER>>AFSA01365381.1/376-496 (0.000000)
picked USER>>AAST01046916.1/448-564 (0.000000)
picked USER>>AAPE02005891.1/45500-45634 (0.000000)
picked USER>>AFSB01202971.1/4016-3881 (0.000000)
picked USER>>AAIY01340978.1/967-1076 (0.000000)
picked USER>>ACBE01396305.1/2993-2866 (0.000000)
picked USER>>AAGW02071407.1/40352-40458 (0.000000)
picked USER>>AAKN02017142.1/41831-41731 (0.000000)
picked USER>>BACK01002896.1/15137-15234 (0.000000)
picked USER>>AAQR03002470.1/10825-10940 (0.000000)
picked USER>>AAYZ01169178.1/940-1049 (0.000000)
picked USER>>AAYZ01199189.1/14074-13973 (0.000000)
picked USER>>ACFV01125004.1/1524-1399 (0.000000)
picked USER>>AAYZ01281898.1/764-631 (0.000000)
picked USER>>AAYZ01060009.1/9393-9260 (0.000000)
picked USER>>AAGW02033703.1/175565-175659 (0.000000)
picked USER>>AEYP01067473.1/75590-75723 (0.000000)
picked USER>>ADFV01046129.1/35509-35612 (0.000000)
picked USER>>AAGW02074730.1/9837-9700 (0.000000)
picked USER>>AAHX01057267.1/4852-4956 (0.000000)
picked USER>>AAGW02049283.1/6792-6693 (0.000000)
picked USER>>ACBE01094789.1/1227-1335 (0.000000)
picked USER>>ACPB02045786.1/62715-62844 (0.000000)
picked USER>>AAGJ04138293.1/1016-896 (0.000000)
picked USER>>AANN01500183.1/39-144 (0.000000)
picked USER>>AEYP01102080.1/28102-28221 (0.000000)
picked USER>>BABH01032981.1/2512-2638 (0.000000)
picked USER>>AACT01019682.1/18766-18886 (0.000000)
picked USER>>AANG01344735.1/1182-1279 (0.000000)
picked USER>>AANH01014531.1/4391-4488 (0.000000)
picked USER>>ACJG01015655.1/2207-2104 (0.000000)
picked USER>>ACJG01008734.1/129-1 (0.000000)
picked USER>>ACJG01013578.1/752-889 (0.000000)
picked USER>>AAGW02001190.1/44228-44332 (0.000000)
picked USER>>AAGW02037283.1/26341-26241 (0.000000)
picked USER>>AAMC01187203.1/348-252 (0.000000)
picked USER>>AANN01529121.1/424-339 (0.000000)
picked USER>>AADC01057968.1/13827-13712 (0.000000)
picked USER>>ABDC01117226.1/6905-7022 (0.000000)
picked USER>>ABDC01080802.1/3972-4096 (0.000000)
picked USER>>AAGW02068226.1/79921-80036 (0.000000)
picked USER>>AAGW02001282.1/6313-6195 (0.000000)
picked USER>>AAST01039518.1/2353-2227 (0.000000)
picked USER>>FJ475969.1/1-102 (0.000000)
picked USER>>AFAN01000032.1/3221471-3221352 (0.000000)
picked USER>>ADND01048289.1/3420-3294 (0.000000)
picked USER>>ABJB010771591.1/124-1 (0.000000)
picked USER>>AALT01504842.1/1880-1767 (0.000000)
picked USER>>ABRR01064581.1/5213-5095 (0.000000)
picked USER>>AC174371.23/57053-56941 (0.000000)
picked USER>>DAAB010309808.1/137-1 (0.000000)
picked USER>>AAGV020285972.1/1002-877 (0.000000)
picked USER>>AFTD01049379.1/20768-20901 (0.000000)
picked USER>>AAKN02035769.1/12656-12781 (0.000000)
picked USER>>AEQT011240295.1/134-270 (0.000000)
picked USER>>AAQR03044067.1/5347-5465 (0.000000)
picked USER>>AFSB01096645.1/6025-6122 (0.000000)
picked USER>>AAQR03010505.1/6587-6690 (0.000000)
picked USER>>ABDC01022406.1/860-979 (0.000000)
picked USER>>AFSB01022631.1/4747-4645 (0.000000)
picked USER>>ADFV01189650.1/4053-4189 (0.000000)
picked USER>>AGCE01089761.1/25718-25826 (0.000000)
picked USER>>AEWC01028762.1/490-394 (0.223144)
picked USER>>ABDC01071168.1/531-620 (0.000000)
picked USER>>AAGW02014437.1/76427-76540 (0.000000)
picked USER>>AACN010206495.1/1573-1674 (0.000000)
picked USER>>AAMC01054369.1/6713-6615 (0.000000)
picked USER>>AAPE02007990.1/47268-47393 (0.000000)
picked USER>>AFSB01179469.1/2990-3075 (0.000000)
picked USER>>AAGV020964674.1/1023-915 (0.000000)
picked USER>>AAMC01012198.1/17125-17029 (0.000000)
picked USER>>AANG01350192.1/381-479 (0.000000)
picked USER>>AAMC01170010.1/3265-3360 (0.000000)
picked USER>>AAMC01099127.1/5115-5212 (0.000000)
picked USER>>ABIM01002309.1/3440-3563 (0.000000)
picked USER>>BAAE01049637.1/158-63 (0.000000)
picked USER>>AAGW02041050.1/160973-161095 (0.000000)
picked USER>>AAWZ02025161.1/55214-55093 (0.000000)
picked USER>>ABAV01007610.1/1506-1414 (0.000000)
picked USER>>ABAV01036532.1/365-488 (0.000000)
picked USER>>ABRO01105415.1/361-247 (0.000000)
picked USER>>AAGW02060773.1/132996-133106 (0.000000)
picked USER>>ABDC01052442.1/4217-4352 (0.000000)
picked USER>>AAGW02024175.1/38572-38456 (0.000000)
picked USER>>AAKN02052171.1/1662-1754 (0.000000)
picked USER>>AAWZ02016373.1/2181-2264 (0.000000)
picked USER>>ABRM01151060.1/889-1005 (0.000000)
picked USER>>ABRM01198513.1/875-788 (0.000000)
picked USER>>ACZT01122592.1/839-702 (0.000000)
picked USER>>ABRM01203351.1/114-9 (0.000000)
picked USER>>AAGW02005166.1/4577-4686 (0.000000)
picked USER>>ABRM01090941.1/1336-1459 (0.000000)
picked USER>>ABRM01134124.1/606-700 (0.000000)
picked USER>>ABRM01171729.1/666-532 (0.000000)
picked USER>>ABRM01109534.1/974-1077 (0.000000)
picked USER>>ABRM01039037.1/1325-1461 (0.000000)
picked USER>>ABRM01134394.1/290-204 (0.000000)
picked USER>>ABRM01205084.1/1005-1095 (0.000000)
picked USER>>ABRM01161826.1/11-122 (0.000000)
picked USER>>ABRM01062141.1/3227-3136 (0.000000)
picked USER>>AACZ03013462.1/12313-12225 (0.000000)
picked USER>>AABR05082556.1/30179-30060 (0.000000)
picked USER>>ABRM01141978.1/802-702 (0.000000)
picked USER>>ABDC01294178.1/12539-12645 (0.000000)
picked USER>>BABO01398193.1/1-117 (0.000000)
picked USER>>BABO01399720.1/1-110 (0.000000)
picked USER>>BABL01005873.1/167-45 (0.000000)
picked USER>>AAYZ01133544.1/6000-6100 (0.000000)
picked USER>>AAWZ02004999.1/102232-102360 (0.000000)
picked USER>>ACFV01100476.1/31281-31391 (0.000000)
picked USER>>AAPN01337051.1/305-410 (0.000000)
picked USER>>AACN010360703.1/924-817 (0.000000)
picked USER>>AAYZ01175206.1/406-537 (0.000000)
picked USER>>AALT01537001.1/2571-2436 (0.000000)
picked USER>>BS000062.1/132700-132832 (0.000000)
picked USER>>AAPE02047561.1/7191-7308 (0.000000)
picked USER>>AGCE01086488.1/10951-10840 (0.000000)
picked USER>>AADA01284807.1/3537-3648 (0.000000)
picked USER>>ABRT010322623.1/1579-1456 (0.000000)
picked USER>>AAWR02019506.1/43436-43557 (0.000000)
picked USER>>ABRT010647016.1/1193-1086 (0.000000)
picked USER>>AAGW02045539.1/8225-8349 (0.000000)
picked USER>>AECO01009036.1/523-638 (0.000000)
picked USER>>AECO01135069.1/758-894 (0.000000)
picked USER>>AFSB01139233.1/1670-1578 (0.000000)
picked USER>>AAQR03004282.1/22672-22791 (0.000000)
picked USER>>ACFV01068325.1/9731-9597 (0.000000)
picked USER>>AAIY01348570.1/779-683 (0.000000)
picked USER>>CAEC01635816.1/8624-8519 (0.000000)
picked USER>>ABRR01345884.1/1187-1294 (0.000000)
picked USER>>ABDC01384163.1/908-1025 (0.000000)
picked USER>>ABRT010355324.1/2671-2562 (0.000000)
picked USER>>AAKN02022845.1/147181-147047 (0.000000)
picked USER>>ABDC01170853.1/2529-2404 (0.000000)
picked USER>>AGTP01036402.1/52461-52587 (0.000000)
picked USER>>ACBE01332396.1/3067-3186 (0.000000)
picked USER>>AANT01108685.1/73386-73492 (0.000000)
picked USER>>ACPB02008052.1/3435-3557 (0.000000)
picked USER>>ADFV01164760.1/16473-16596 (0.000000)
picked USER>>ACFV01004996.1/25913-25789 (0.000000)
picked USER>>AAKN02036804.1/46493-46602 (0.000000)
picked USER>>ABRP01212276.1/13683-13592 (0.000000)
picked USER>>ADFV01015907.1/756-646 (0.000000)
picked USER>>AAYZ01184642.1/2352-2439 (0.000000)
picked USER>>AAMC01007042.1/33490-33390 (0.000000)
picked USER>>AALT01614779.1/8843-8935 (0.000000)
picked USER>>AAQQ01177463.1/3386-3486 (0.000000)
picked USER>>AGCE01065955.1/17420-17288 (0.000000)
picked USER>>AAGW02057185.1/9375-9475 (0.000000)
picked USER>>AAQR03175287.1/10997-10883 (0.000000)
picked USER>>AABR05184215.1/342249-342146 (0.000000)
picked USER>>ACFV01032142.1/1575-1696 (0.000000)
picked USER>>ABRN01085866.1/15446-15558 (0.000000)
picked USER>>ABRN01003907.1/2497-2392 (0.000000)
picked USER>>AAWZ02022419.1/130450-130553 (0.000000)
picked USER>>ACBE01574327.1/54-162 (0.000000)
picked USER>>AAGW02061395.1/29068-29189 (0.000000)
picked USER>>AALT01579882.1/11391-11495 (0.000000)
picked USER>>ABDC01485023.1/1830-1719 (0.000000)
picked USER>>AAFC03033241.1/11458-11568 (0.000000)
picked USER>>ABDC01018516.1/311-209 (0.000000)
picked USER>>AFSA01190308.1/1710-1581 (0.000000)
picked USER>>AAHX01091105.1/3063-3169 (0.000000)
picked USER>>ACTP01008622.1/31579-31676 (0.000000)
picked USER>>AAHX01067030.1/81045-81148 (0.000000)
picked USER>>AFAN01000001.1/5352214-5352330 (0.000000)
picked USER>>AEWC01011134.1/40397-40512 (0.000000)
picked USER>>ACPB02027881.1/8187-8295 (0.000000)
picked USER>>DAAA02024467.1/122047-121930 (0.000000)
picked USER>>AGFK01000737.1/2143-2036 (0.000000)
picked USER>>ABIM01022204.1/10465-10364 (0.000000)
picked USER>>AGFK01009636.1/1252-1152 (0.000000)
picked USER>>ABIM01027050.1/1855-1967 (0.000000)
picked USER>>AFTD01045643.1/6578-6679 (0.000000)
picked USER>>AC146785.12/135575-135681 (0.000000)
picked USER>>ABGA01189340.1/5068-4962 (0.000000)
picked USER>>ABDC01419943.1/4086-4196 (0.000000)
picked USER>>AABR05092600.1/22959-22858 (0.000000)
picked USER>>AACN010253183.1/1590-1699 (0.000000)
picked USER>>AGCE01099199.1/1995-2119 (0.000000)
picked USER>>ABDC01148030.1/1952-1841 (0.000000)
picked USER>>ADFV01009325.1/1966-1833 (0.000000)
picked USER>>ACPB02045363.1/4556-4434 (0.000000)
picked USER>>AGCE01098498.1/10847-10983 (0.000000)
picked USER>>AAYZ01214826.1/2974-3072 (0.000000)
picked USER>>AFTD01001666.1/2469-2355 (0.000000)
picked USER>>AALT01490355.1/2961-3076 (0.000000)
picked USER>>ABRP01104181.1/5760-5624 (0.000000)
picked USER>>ACTA01090357.1/48076-47945 (0.000000)
picked USER>>AAQR03079470.1/4664-4783 (0.000000)
picked USER>>AAVX01468638.1/363-240 (0.000000)
picked USER>>AAGW02063417.1/27074-27172 (0.000000)
picked USER>>AFSB01104788.1/49254-49351 (0.000000)
picked USER>>DAAA02038129.1/85925-86032 (0.000000)
picked USER>>AFTD01087198.1/1653-1751 (0.000000)
picked USER>>ACTA01027091.1/13462-13363 (0.000000)
picked USER>>AAKN02056634.1/90714-90833 (0.000000)
picked USER>>ABDC01475799.1/1562-1460 (0.000000)
picked USER>>AAQR03106058.1/17502-17386 (0.000000)
picked USER>>ABRT010254263.1/2192-2082 (0.000000)
picked USER>>AEYP01088139.1/5992-5867 (0.000000)
picked USER>>AAGW02012216.1/32177-32292 (0.000000)
picked USER>>AFTD01042814.1/20174-20080 (0.000000)
picked USER>>AACY021404387.1/521-414 (0.000000)
picked USER>>ABRO01519386.1/870-749 (0.000000)
picked USER>>BAAE01328594.1/1-123 (0.000000)
picked USER>>ABDC01494009.1/812-949 (0.000000)
picked USER>>AAMC01085455.1/13785-13888 (0.000000)
picked USER>>AAGV020615675.1/1326-1203 (0.000000)
picked USER>>AAGV021060070.1/296-408 (0.000000)
picked USER>>AAPE02002523.1/1436-1307 (0.000000)
picked USER>>AFTD01115682.1/4222-4122 (0.000000)
picked USER>>AAKN02034083.1/24692-24805 (0.000000)
picked USER>>ACFV01086912.1/3822-3727 (0.000000)
picked USER>>AEHL01120599.1/2463-2337 (0.000000)
picked USER>>AEYP01098036.1/2307-2415 (0.000000)
picked USER>>ACPB02006594.1/1301-1188 (0.000000)
picked USER>>ABRT010086810.1/2741-2646 (0.000000)
picked USER>>ABRT010110350.1/11760-11649 (0.000000)
picked USER>>ABDC01497080.1/1739-1827 (0.000000)
picked USER>>AAMC01041843.1/1115-1222 (0.000000)
picked USER>>AAMC01008452.1/6525-6628 (0.000000)
picked USER>>ABDC01050413.1/1900-1798 (0.000000)
picked USER>>ACJG01004692.1/345-481 (0.000000)
picked USER>>AFTD01103283.1/1071-962 (0.000000)
picked USER>>ABRT010267844.1/2492-2385 (0.000000)
picked USER>>ET976848.1/4-119 (0.000000)
picked USER>>AFYH01178647.1/6724-6832 (0.000000)
picked USER>>ABRO01058021.1/148-40 (0.000000)
picked USER>>AANH01010298.1/10306-10403 (0.000000)
picked USER>>AANH01013000.1/9405-9308 (0.000000)
picked USER>>ABGA01309146.1/1720-1618 (0.000000)
picked USER>>AAWZ02014508.1/203081-203183 (0.000000)
picked USER>>AALT01544112.1/2052-2140 (0.000000)
picked USER>>ABRN01000111.1/1710-1605 (0.000000)
picked USER>>ABRT010028269.1/6768-6653 (0.000000)
picked USER>>AAYZ01434292.1/1283-1418 (0.000000)
picked USER>>AFSB01152092.1/12428-12513 (0.000000)
picked USER>>AAFC03108944.1/5995-5898 (0.000000)
picked USER>>AAWZ02010284.1/45730-45843 (0.000000)
picked USER>>AACN010138478.1/462-553 (0.000000)
picked USER>>AFSB01073397.1/20584-20709 (0.000000)
picked USER>>DAAB012044824.1/1168-1057 (0.000000)
picked USER>>AGTP01023213.1/25780-25679 (0.000000)
picked USER>>AAYZ01086824.1/182-287 (0.000000)
picked USER>>ACPB02021244.1/2518-2637 (0.000000)
picked USER>>ABIM01003138.1/30144-30023 (0.000000)
picked USER>>AAGV020732356.1/1014-904 (0.000000)
picked USER>>AAXJ01014381.1/437-353 (0.000000)
picked USER>>AANT01257213.1/6209-6311 (0.000000)
picked USER>>CABD02195548.1/21465-21568 (0.000000)
picked USER>>AGCE01025280.1/12280-12160 (0.000000)
picked USER>>AACT01051284.1/529-401 (0.000000)
picked USER>>AY879065.1/64-198 (0.000000)
picked USER>>AACT01052071.1/85-1 (0.000000)
picked USER>>DAAB011637227.1/1-92 (0.000000)
picked USER>>AADB02351994.1/122-1 (0.000000)
picked USER>>ADWL01014792.1/2575-2702 (0.000000)
picked USER>>ABRM01198023.1/579-683 (0.000000)
picked USER>>ABRM01006498.1/5361-5256 (0.000000)
picked USER>>AAYZ01346487.1/3821-3698 (0.000000)
picked USER>>AANN01575088.1/3408-3536 (0.000000)
picked USER>>ABRM01181073.1/946-848 (0.000000)
picked USER>>ACZT01125943.1/1191-1288 (0.000000)
picked USER>>ABRM01190340.1/352-482 (0.000000)
picked USER>>AAMC01150239.1/827-931 (0.693147)
picked USER>>AAMC01054076.1/22011-21911 (0.000000)
picked USER>>AAMC01127256.1/2470-2372 (0.000000)
picked USER>>AAYZ01451710.1/5988-6076 (0.000000)
picked USER>>ACZT01057559.1/7542-7421 (0.000000)
picked USER>>ABRM01217757.1/870-990 (0.000000)
picked USER>>ABRM01019053.1/4498-4606 (0.000000)
picked USER>>ABRM01091775.1/1508-1613 (0.105362)
picked USER>>ACZT01117943.1/539-626 (0.000000)
picked USER>>AFTD01048098.1/80572-80671 (0.000000)
picked USER>>AFSB01273480.1/16836-16719 (0.000000)
picked USER>>CAAA01121703.1/9593-9706 (0.000000)
picked USER>>ABRP01253093.1/8892-8991 (0.000000)
picked USER>>ABDC01049709.1/615-725 (0.000000)
picked USER>>AEHK01298196.1/1242-1132 (0.000000)
picked USER>>AAKN02046252.1/45072-44938 (0.000000)
picked USER>>AFSB01037490.1/9815-9679 (0.000000)
picked USER>>AAMC01061005.1/29191-29289 (0.000000)
picked USER>>ACZT01077717.1/1514-1428 (0.000000)
picked USER>>ABRM01000510.1/118-9 (0.000000)
picked USER>>ABRM01011065.1/9382-9488 (0.000000)
picked USER>>ABRM01019859.1/13385-13277 (0.000000)
picked USER>>ABRM01228156.1/57-165 (1.178655)
picked USER>>ABRM01197184.1/367-259 (0.367722)
picked USER>>AGCE01058772.1/964-1072 (0.000000)
picked USER>>ABGA01195689.1/1463-1573 (0.000000)
picked USER>>AALT01200525.1/956-1074 (0.000000)
picked USER>>AAFR03005195.1/36191-36086 (0.000000)
picked USER>>ABDC01337066.1/1906-2021 (0.000000)
picked USER>>AAYZ01193572.1/216-308 (0.000000)
picked USER>>AACN010036274.1/2211-2119 (0.000000)
picked USER>>ET949520.1/3-126 (0.000000)
picked USER>>AAPE02070974.1/4930-4840 (0.000000)
picked USER>>ABRP01118873.1/6344-6236 (0.000000)
picked USER>>ACFV01140737.1/10073-9974 (0.000000)
picked USER>>ACFV01166270.1/1640-1525 (0.000000)
picked USER>>AAWR02036100.1/270254-270371 (0.000000)
picked USER>>ACFV01126619.1/3879-3761 (0.000000)
picked USER>>AGTP01080132.1/5628-5733 (0.000000)
picked USER>>CABD02330366.1/3245-3145 (0.000000)
picked USER>>AAIY01678281.1/1082-984 (0.000000)
picked USER>>AAIY01630675.1/2059-1971 (0.000000)
picked USER>>AFSB01230676.1/43837-43734 (0.000000)
picked USER>>ADFV01057526.1/168-293 (0.000000)
picked USER>>AC157648.18/18711-18591 (0.000000)
picked USER>>AANN01459680.1/2176-2055 (0.000000)
picked USER>>AAWZ02000413.1/7427-7328 (0.000000)
picked USER>>AAVX01599403.1/164-29 (0.000000)
picked USER>>AAQR03159231.1/16330-16223 (0.000000)
picked USER>>ABRP01163497.1/766-872 (0.000000)
picked USER>>AANN01754959.1/287-388 (0.000000)
picked USER>>AFSB01124940.1/8335-8203 (0.000000)
picked USER>>ABBA01007711.1/1667-1763 (3.958163)
picked USER>>ABDC01369053.1/727-630 (0.000000)
picked USER>>AAWZ02006533.1/21667-21761 (0.000000)
picked USER>>AFSB01046005.1/3790-3899 (0.000000)
picked USER>>AGTP01014563.1/12080-11970 (0.000000)
picked USER>>AGCE01082217.1/15218-15330 (0.000000)
picked USER>>ABRP01063520.1/117-231 (0.000000)
picked USER>>AAGW02067717.1/86871-86785 (0.000000)
picked USER>>AEYP01030054.1/36621-36517 (0.000000)
picked USER>>AADA01280936.1/6958-6823 (0.000000)
picked USER>>ABRT010101553.1/857-978 (0.000000)
picked USER>>AAQR03032165.1/4331-4448 (0.000000)
picked USER>>AFTD01021899.1/2169-2067 (0.000000)
picked USER>>AGTP01026958.1/38909-38993 (0.000000)
picked USER>>AACZ03047389.1/18247-18362 (0.000000)
picked USER>>ABRT010216584.1/2469-2339 (0.000000)
picked USER>>AAGW02035519.1/30648-30776 (0.000000)
picked USER>>ABSL01066126.1/367273-367371 (0.000000)
picked USER>>ADFV01075336.1/1105-1194 (0.000000)
picked USER>>AAIY01014265.1/1362-1259 (0.000000)
picked USER>>AAYZ01387576.1/127-1 (0.000000)
picked USER>>ABRP01120455.1/568-696 (0.000000)
picked USER>>AAGW02052694.1/18310-18407 (0.000000)
picked USER>>AFSB01014024.1/880-1006 (0.000000)
picked USER>>ABRP01339684.1/767-874 (0.000000)
picked USER>>AACN010295228.1/214-112 (0.000000)
picked USER>>AALT01361864.1/587-684 (0.000000)
picked USER>>AGCP01021579.1/539-415 (0.000000)
picked USER>>X01847.1/1-107 (50.000000)
picked USER>>ABBA01062416.1/137897-137795 (0.000000)
picked USER>>AAGW02067380.1/13063-13164 (0.000000)
picked USER>>AALT01481794.1/2432-2335 (0.000000)
picked USER>>AFSB01114267.1/4011-3881 (0.000000)
picked USER>>ABGA01160722.1/9679-9805 (0.000000)
picked USER>>AAQR03131246.1/1589-1698 (0.000000)
picked USER>>ACBE01572026.1/1716-1600 (0.000000)
picked USER>>CAEC01495032.1/7895-8009 (0.223144)
picked USER>>ACTA01042433.1/40838-40709 (0.000000)
picked USER>>AAFR03035315.1/101241-101108 (0.000000)
picked USER>>AAGW02054093.1/6777-6912 (0.000000)
picked USER>>AABR05022355.1/51764-51900 (0.000000)
picked USER>>ACBE01509822.1/2799-2700 (0.000000)
picked USER>>AACN010107911.1/943-1049 (0.000000)
picked USER>>AAGW02013333.1/77513-77619 (0.000000)
picked USER>>AAGW02052683.1/43290-43380 (0.000000)
picked USER>>AEHL01106435.1/25717-25818 (0.000000)
picked USER>>ACFV01118127.1/2489-2383 (0.000000)
picked USER>>AALT01465452.1/2101-2208 (0.000000)
picked USER>>AALT01508855.1/602-712 (0.000000)
picked USER>>AAGW02038944.1/17700-17801 (0.000000)
picked USER>>AAGW02041190.1/40510-40377 (0.000000)
picked USER>>AAMC01089209.1/3238-3128 (0.000000)
picked USER>>AAMC01124663.1/2934-3031 (0.000000)
picked USER>>AAMC01049375.1/8353-8246 (0.000000)
picked USER>>AAMC01062003.1/229-330 (0.000000)
picked USER>>AAMC01158610.1/2054-2152 (0.000000)
picked USER>>AABR05003635.1/13223-13099 (0.000000)
picked USER>>ACBE01099826.1/1580-1668 (0.000000)
picked USER>>AFSB01235202.1/72709-72586 (0.000000)
picked USER>>AACZ03049724.1/696-608 (0.000000)
picked USER>>Z98745.1/28930-29065 (0.000000)
picked USER>>AABR05055064.1/18610-18516 (0.000000)
picked USER>>AANN01512735.1/969-860 (0.000000)
picked USER>>AAGW02024660.1/113023-113140 (0.000000)
picked USER>>AANT01264926.1/11319-11454 (0.000000)
picked USER>>AALT01656352.1/2714-2577 (0.000000)
picked USER>>AGTP01043318.1/36755-36881 (0.000000)
picked USER>>AALT01496214.1/2448-2337 (0.000000)
picked USER>>AFSB01113635.1/7545-7423 (0.000000)
picked USER>>AAQR03075817.1/27645-27782 (0.000000)
picked USER>>ABDC01122311.1/913-1022 (0.000000)
picked USER>>AAHX01368227.1/487-357 (0.000000)
picked USER>>AAQR03066995.1/107139-107252 (0.000000)
picked USER>>AAHX01009694.1/6969-7103 (2.833213)
picked USER>>AANH01012997.1/4973-4876 (0.000000)
picked USER>>AAEX03000621.1/39717-39620 (0.000000)
picked USER>>AAHX01060757.1/12766-12677 (0.000000)
picked USER>>AACT01050693.1/627-736 (0.000000)
picked USER>>AAWT01001090.1/4866-4997 (0.000000)
picked USER>>ABDC01424662.1/4091-3979 (0.000000)
picked USER>>BABO01393391.1/96-224 (0.000000)
picked USER>>AEYP01031525.1/6840-6970 (0.000000)
picked USER>>AAKN02011966.1/2764-2655 (0.000000)
picked USER>>CABF01087771.1/85-1 (0.000000)
picked USER>>DAAB012901948.1/98-1 (0.000000)
picked USER>>AAQR03181339.1/3336-3201 (0.000000)
picked USER>>AFSB01116127.1/11099-11222 (0.000000)
picked USER>>AAGW02041425.1/4922-4807 (0.000000)
picked USER>>AAWR02000170.1/142277-142395 (0.000000)
picked USER>>ACBE01146345.1/1243-1136 (0.000000)
picked USER>>AEHK01343117.1/7752-7854 (0.000000)
picked USER>>AFSB01036528.1/692-580 (0.000000)
picked USER>>AFSQ01017616.1/824-934 (0.000000)
picked USER>>AACZ03102591.1/4486-4371 (0.000000)
picked USER>>AAIY01039730.1/164-67 (0.000000)
picked USER>>AEYP01060453.1/14575-14489 (0.000000)
picked USER>>AAGW02020567.1/30839-30713 (0.000000)
picked USER>>AEQT010165481.1/798-929 (0.000000)
picked USER>>AEHL01111325.1/1766-1884 (0.000000)
picked USER>>AAQR03140225.1/4573-4436 (0.000000)
picked USER>>AFTD01092677.1/44262-44142 (0.000000)
picked USER>>AAGW02057850.1/5176-5069 (0.000000)
picked USER>>CAEC01237722.1/838-720 (0.000000)
picked USER>>AECO01025494.1/179-64 (0.000000)
picked USER>>AAQR03055986.1/83459-83331 (0.000000)
picked USER>>AAFC03040201.1/8270-8375 (0.000000)
